beer_id,abv,external_brewery_id,ibu,external_beer_id,name,ounces,style
fcbf8b73-0d60-4d98-92bf-17564373362c,0.048,36,20,1968,FMB 101,12,Kölsch
5847f40a-4410-4040-a685-60b260c2056f,0.09,256,,1981,Hardcore Chimera,16,American Double / Imperial IPA
ca410c0b-8538-424e-8531-4fcb279a225b,0.08,256,80,1664,Sobek & Set,16,American Black Ale
332b6e5e-3008-4000-87f2-cd7062a6bf42,0.086,256,,1663,Nuclear Winter,16,Belgian Strong Dark Ale
37bbbde4-485e-4df1-ad4e-f1284996f40b,0.05,256,22,1662,Wet Hot American Wheat Ale,16,American Pale Wheat Ale
507a15d2-86f8-4746-80db-779c7e140395,0.053,256,,941,Secret Stache Stout,16,American Stout
807eba13-4e0d-4f63-95b3-745f8259b4d2,0.08,256,72,935,Fascist Pig Ale,16,American Amber / Red Ale
c03a624f-9afe-4bf2-ae0f-020cd43f91e8,0.055,256,,809,Cut Throat Pale Ale,16,American Pale Ale (APA)
71b6ab63-cb67-41ce-9269-43f89ada3bde,0.075,256,,481,Threadless IPA,16,American IPA
0e3a32f9-1066-4e8c-a74f-6f4843a5d28c,0.055,256,,351,Cut Throat Pale Ale (2011),16,American Pale Ale (APA)
fe31511e-e445-41f0-9071-9f6aa1dad960,0.047,256,,350,Golden Wing Blonde Ale,16,American Blonde Ale
027e8c83-92bb-4e82-b32d-c9b3e42ff095,0.045,48,47,2569,Easy Jack,12,American IPA
4dd7b743-2829-44f9-952a-38628980646c,0.075,48,75,2463,Union Jack,12,American IPA
d890c362-62d1-4440-bc14-b71a0ee7a92d,0.053,48,,2462,Pivo Pils,12,German Pilsener
bcad0f3c-f076-47af-89bb-7d40264376bb,0.047,48,,1957,805 Blonde Ale,12,American Blonde Ale
81a71d50-18dc-419b-981b-c10bd25e66ad,0.047,48,20,1733,805,12,American Blonde Ale
c8635166-9e28-41e0-98cf-759386706946,0.065,16,,2624,Deflator,16,Doppelbock
38949871-e9c8-49d8-ad30-d7cf13723958,0.05,16,27,2284,Hinchtown Hammer Down,16,American Blonde Ale
f7a454e5-b559-4396-aeaf-182e01d19af5,0.06,16,104,1610,Half Cycle IPA,16,American IPA
ebce1bf8-c518-47ae-bae0-cf96e765db52,,532,,520,Inclined Plane Ale,12,American IPA
ed99340a-69cb-4909-a403-3523cfbac3d5,0.055,54,,2554,Moped Traveler,16,American Pale Ale (APA)
ef171748-4db0-4ad4-9ccb-f2b04f2264bb,0.071,521,60,608,Snake Dog IPA,12,American IPA
