abv,ibu,id,name,style,brewery_id,ounces,breweryUuid
0.099,85.0,1256,Forest Fire Imperial Smoked Rye,Rye Beer,444,16.0,fcae18a9-9809-487e-a8e8-21125010ce4a
0.098,76.0,1255,Bad Axe Imperial IPA,American Double / Imperial IPA,444,16.0,fcae18a9-9809-487e-a8e8-21125010ce4a
0.055,35.0,986,Morning Wood,Oatmeal Stout,444,16.0,fcae18a9-9809-487e-a8e8-21125010ce4a
0.066,50.0,985,Bark Bite IPA,American IPA,444,16.0,fcae18a9-9809-487e-a8e8-21125010ce4a
0.055,45.0,2508,Jalapeno Pale Ale,American Pale Ale (APA),70,16.0,fa970827-906e-4ebd-b68c-19c192778661
0.052,,1441,Blown Out Brown,American Brown Ale,407,12.0,2f3d22a3-113e-424a-aed6-b8a2f2f785c2
0.063,,1413,Single Hop Ale,American Pale Ale (APA),407,12.0,2f3d22a3-113e-424a-aed6-b8a2f2f785c2
0.054,,1411,Sawtooth Ale,American Blonde Ale,407,12.0,2f3d22a3-113e-424a-aed6-b8a2f2f785c2
0.072,75.0,2620,Saucy Intruder,Rye Beer,18,16.0,64fd68cb-1304-41c8-b42d-0b5e801e7156
0.045,16.0,2412,Deception,American Blonde Ale,112,12.0,600748ca-dca4-43c4-8187-a0b1d952a597
0.075,35.0,1898,Blackmarket Rye IPA,American IPA,112,12.0,600748ca-dca4-43c4-8187-a0b1d952a597
0.05,8.0,1897,Black Market Hefeweizen,Hefeweizen,112,12.0,600748ca-dca4-43c4-8187-a0b1d952a597
0.0579999999999999,44.0,1896,Aftermath Pale Ale,American Pale Ale (APA),112,12.0,600748ca-dca4-43c4-8187-a0b1d952a597
0.073,,2449,Flying Sailor,Rye Beer,95,12.0,4da03934-2c69-466f-9f84-937efbc8b74a
0.048,47.0,2634,Nordskye ,American IPA,12,12.0,4da03934-2c69-466f-9f84-937efbc8b74a
0.06,30.0,2153,North Third Stout,Foreign / Export Stout,12,12.0,4da03934-2c69-466f-9f84-937efbc8b74a
0.052,,1953,Honey Lav,American Pale Wheat Ale,12,12.0,4da03934-2c69-466f-9f84-937efbc8b74a
0.068,,1496,Coconut Brown Ale,American Brown Ale,12,12.0,4da03934-2c69-466f-9f84-937efbc8b74a
0.07,51.0,1481,51K IPA,American IPA,12,12.0,4da03934-2c69-466f-9f84-937efbc8b74a
0.055,,1480,Grand Rabbits,Cream Ale,12,12.0,4da03934-2c69-466f-9f84-937efbc8b74a
0.05,,1564,1800 Big Log Wheat (2012),American Pale Wheat Ale,380,12.0,f5e7c55b-e9bc-40fd-9008-dcf443a88837
,,1541,Double Play Pilsner,American Pilsner,380,12.0,f5e7c55b-e9bc-40fd-9008-dcf443a88837
0.055,,1321,Brewerhood Brown Ale,American Brown Ale,380,12.0,f5e7c55b-e9bc-40fd-9008-dcf443a88837
0.08,,1320,Last Call Imperial Amber Ale,American Amber / Red Ale,380,12.0,f5e7c55b-e9bc-40fd-9008-dcf443a88837
